,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,"Analyst, Marketing & Performance",Uni-Select Canada Inc.,None,https://ca.indeed.com/viewjob/company/Uni--Select-Canada-Inc./jobs/Analyst-744ee97c4049b30f?fccid=7b57cdc5be715e6f&vjs=3,[],"Boucherville, QC",99,none
1,Strategic Insights Analyst,DAC Group,None,https://ca.indeed.com/viewjob?jk=e1fd0e88751ad22b&fccid=ed1f878210547a38&vjs=3,"['insights', 'insight', 'data', 'skills', 'skill', 'client', 'clients', 'including', 'include', 'includes', 'work', 'works', 'working', 'strong', 'research']","Toronto, ON",2,year degree formal degree
2,Pipeline Inline-Inspection Data Analyst (ILI Level 2-3),Onstream Pipeline Inspection Services Inc.,None,https://ca.indeed.com/viewjob/company/Onstream-Pipeline-Inspection-Services-Inc/jobs/Pipeline-Inline-Inspection-Data-Analyst-7837ad55c28258ea?fccid=67f6fd44839332b5&vjs=3,[],"Calgary, AB",99,none
3,Compliance Analyst/Senior Analyst,SBI Canada Bank,None,https://ca.indeed.com/viewjob/company/SBI-Canada-Bank/jobs/Compliance-Analyst-Senior-Analyst-2509689c77d92dfc?fccid=b83ee57cf9a2e464&vjs=3,[],"Mississauga, ON",99,none
4,Research Analyst,iData Research Inc.,19.23,https://ca.indeed.com/viewjob/company/iData-Research-Inc./jobs/Research-Analyst-c027d9dd2bd3715b?fccid=09616331811b497e&vjs=3,[],"Burnaby, BC",99,none
5,Data Analyst /Data Governance Specialist,American Iron and Metal,None,https://ca.indeed.com/viewjob?jk=e290ca453d7a490d&fccid=b444d75eb84efc9c&vjs=3,"['data', 'management', 'manag', 'knowledge', 'knowledg', 'business', 'providing', 'provide', 'decision', 'develop', 'developing', 'development', 'chain']","Montréal, QC",99,bachelors degree
6,Data Analyst,OSL Retail Services Inc,None,https://ca.indeed.com/viewjob?jk=2bd4475c87ca4f77&fccid=f0404b5315ab218d&vjs=3,"['reporting', 'reports', 'report', 'data', 'organizations', 'organization', 'organize', 'work', 'works', 'working', 'significant', 'team', 'database', 'databases', 'analytical']","Mississauga, ON",99,none
7,MARKETING DATA ANALYST -FR,Nvizzio Creations,None,https://ca.indeed.com/viewjob?jk=15d8a449d437ffd3&fccid=436b5edb4838ca5f&vjs=3,"['des', 'les', 'pour', 'une', 'produit', 'produits', 'donnees', 'equipes', 'sur']","Montréal, QC",99,none
8,Integration and Data Analyst Parian,Parian Logistics,None,https://ca.indeed.com/viewjob?jk=d49c6b6a6a6dc8ce&fccid=268960810ebecabd&vjs=3,"['data', 'integration', 'services business', 'integrated applications', 'servic', 'service', 'include', 'including', 'manager', 'manage', 'management', 'processes', 'process', 'applicable', 'application']","Winnipeg, MB",3,university degree
9,"Analyst, Statistics",Certara,None,https://ca.indeed.com/viewjob?jk=cec074bcb1c3ab20&fccid=f0ba227ba5c9c8b1&vjs=3,"['des', 'statistique', 'statistiqu', 'statistiques', 'une', 'les analyses', 'analyse', 'est', 'experience', 'scientifique', 'scientifiques', 'scientifiqu']","Montréal, QC",99,none
10,BI Analyst,DeSerres,None,https://ca.indeed.com/viewjob?jk=952b3cb36aecc74f&fccid=9bcd567f3b9cf20c&vjs=3,"['analytical', 'analytics', 'management', 'manage', 'new', 'knowledge', 'initiatives', 'initiate', 'business', 'making', 'sql']","Montréal, QC",4,bachelors degree
11,Business Analyst I,Gore Mutual Insurance Company,None,https://ca.indeed.com/viewjob?jk=250d9de9a78cdae2&fccid=246b913db379ea91&vjs=3,"['business', 'processes', 'process', 'experience', 'experi', 'project', 'strong', 'requirements', 'requir', 'require', 'insurance', 'insurer', 'solutions', 'solution']","Cambridge, ON",10,none
12,Data Analyst,WGames Inc.,None,https://ca.indeed.com/viewjob?jk=011ef0b31a96d810&fccid=e5595c68b69ef77d&vjs=3,"['data', 'games', 'gaming', 'game', 'team', 'teams', 'users', 'user', 'analysis', 'preferably', 'preferred', 'reporting', 'reports', 'experi', 'experience']","Toronto, ON",2,bachelors degree
13,Safety Analyst,Westcan Bulk Transport Ltd .,None,https://ca.indeed.com/viewjob?jk=82bffe434ab39112&fccid=7b9ed354023c227a&vjs=3,"['safety', 'opportunity', 'opportunities', 'team', 'applicants', 'application', 'applications', 'customer', 'company', 'position', 'positive', 'maintain', 'maintaining']","Edmonton, AB",99,none
14,Specialist in BI visualization / Spécialiste visualisation B...,CGI Group,36.06,https://ca.indeed.com/viewjob/company/CGI/jobs/Specialist-Bi-Visualization-00706ea7e09dcbf6?fccid=d93d0dc04840a6ca&vjs=3,[],"Montréal, QC",99,none
15,"Analyst, Marketing & Performance",Uni-Select Canada Inc.,None,https://ca.indeed.com/viewjob/company/Uni--Select-Canada-Inc./jobs/Analyst-744ee97c4049b30f?fccid=7b57cdc5be715e6f&vjs=3,[],"Boucherville, QC",99,none
16,Compliance Analyst/Senior Analyst,SBI Canada Bank,None,https://ca.indeed.com/viewjob/company/SBI-Canada-Bank/jobs/Compliance-Analyst-Senior-Analyst-2509689c77d92dfc?fccid=b83ee57cf9a2e464&vjs=3,[],"Mississauga, ON",99,none
17,Pipeline Inline-Inspection Data Analyst (ILI Level 2-3),Onstream Pipeline Inspection Services Inc.,None,https://ca.indeed.com/viewjob/company/Onstream-Pipeline-Inspection-Services-Inc/jobs/Pipeline-Inline-Inspection-Data-Analyst-7837ad55c28258ea?fccid=67f6fd44839332b5&vjs=3,[],"Calgary, AB",99,none
18,"Analyst, Statistics",Certara,None,https://ca.indeed.com/viewjob?jk=cec074bcb1c3ab20&fccid=f0ba227ba5c9c8b1&vjs=3,"['des', 'statistique', 'statistiqu', 'statistiques', 'une', 'les analyses', 'analyse', 'est', 'experience', 'scientifique', 'scientifiques', 'scientifiqu']","Montréal, QC",99,none
