,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,Business Analyst I,Gore Mutual Insurance Company,None,https://ca.indeed.com/viewjob?jk=250d9de9a78cdae2&fccid=246b913db379ea91&vjs=3,"['business', 'processes', 'process', 'experience', 'experi', 'project', 'strong', 'requirements', 'requir', 'require', 'insurance', 'insurer', 'solutions', 'solution']","Cambridge, ON",10,none
1,Production Support Analyst,Olysky LP,None,https://ca.indeed.com/viewjob/company/Olysky-LP/jobs/Production-Support-Analyst-4f0eb936d93d7a7f?fccid=1954473dca85d0d5&vjs=3,[],"Humboldt, SK",99,none
2,"Bilingual Analyst, Postsecondary Education and Adult Learnin...","THE COUNCIL OF MINISTERS OF EDUCATION, CANADA (CME...",35.75,"https://ca.indeed.com/viewjob/company/Council-of-Ministers-of-Education,-Canada/jobs/Bilingual-Analyst-f41caed47417b44b?fccid=cc55aafeef29476a&vjs=3",[],"Toronto, ON",99,none
3,Analyste BI - BI Analyst,Bonduelle,None,https://ca.indeed.com/viewjob/company/Bonduelle/jobs/Analyste-Bi-8d6bb5d0ff9caf51?fccid=7bafa916f6a8b138&vjs=3,[],"Saint-Césaire, QC",99,none
4,Marketing Analyst – Vehicle Accessories,CM2 Solutions Inc.,None,https://ca.indeed.com/viewjob/company/CM2-Solutions-Inc./jobs/Marketing-Analyst-Vehicle-Accessory-01dd451b31b489b7?fccid=063cbc9d4728748d&vjs=3,[],"Oshawa, ON",99,none
5,Data Analyst - Fraud Detection,MindGeek Careers,None,https://ca.indeed.com/viewjob?jk=aecad2500c587a76&fccid=6f250882b448d8bc&vjs=3,"['data', 'report', 'reports', 'problems', 'problem', 'plus', 'plu', 'analytics', 'analytical', 'stakehold', 'stakeholders', 'statistical', 'statistics', 'decision', 'decisions']","Montréal, QC",3,masters degree
6,BI Developer,AJW Technique,35.34,https://ca.indeed.com/viewjob/company/AJW-Technique/jobs/Bi-Developer-0cf29e22e28d7346?fccid=3de1bf0a2cb37afe&vjs=3,[],"Montréal, QC",99,none
7,Senior Business Intelligence Analyst (B052-20),Legal Aid BC,37.43,https://ca.indeed.com/viewjob/company/Legal-Aid-BC/jobs/Senior-Business-Intelligence-Analyst-febc885b489207ab?fccid=86fe361209cb4a20&vjs=3,[],"Vancouver, BC",99,none
8,Business Analyst - BMC Remedy,IT Chapter,None,https://ca.indeed.com/viewjob/company/IT-Chapter/jobs/Business-Analyst-d3bd0d1d9678c211?fccid=d99c6857b949658d&vjs=3,[],"Montréal, QC",99,none
9,Compliance Analyst/Senior Analyst,SBI Canada Bank,None,https://ca.indeed.com/viewjob/company/SBI-Canada-Bank/jobs/Compliance-Analyst-Senior-Analyst-2509689c77d92dfc?fccid=b83ee57cf9a2e464&vjs=3,[],"Mississauga, ON",99,none
